mode,step,epoch,metrics
val,step=0,epoch=0,loss=2.636146 loss_rec=2.636146 loss_eq=0.000000 acc/pixel_acc=0.125615 acc/mean_pixel_acc=0.079549 acc/iou=0.027057 best_acc/pixel_acc=0.125615 best_acc/mean_pixel_acc=0.079549 best_acc/iou=0.027057
val,step=31,epoch=1,loss=2.517644 loss_rec=2.517644 loss_eq=0.000000 acc/pixel_acc=0.365034 acc/mean_pixel_acc=0.114177 acc/iou=0.048249 best_acc/pixel_acc=0.365034 best_acc/mean_pixel_acc=0.114177 best_acc/iou=0.048249
val,step=62,epoch=2,loss=2.340543 loss_rec=2.340543 loss_eq=0.000000 acc/pixel_acc=0.326672 acc/mean_pixel_acc=0.093312 acc/iou=0.036824 best_acc/pixel_acc=0.365034 best_acc/mean_pixel_acc=0.114177 best_acc/iou=0.048249
val,step=93,epoch=3,loss=2.068763 loss_rec=2.068763 loss_eq=0.000000 acc/pixel_acc=0.349755 acc/mean_pixel_acc=0.103969 acc/iou=0.043572 best_acc/pixel_acc=0.365034 best_acc/mean_pixel_acc=0.114177 best_acc/iou=0.048249
train,step=100,epoch=4,loss=2.067156 loss_rec=2.067147 loss_eq=0.000184 acc/pixel_acc=0.371122 acc/mean_pixel_acc=0.104990 acc/iou=0.046218
val,step=124,epoch=4,loss=1.886026 loss_rec=1.886026 loss_eq=0.000000 acc/pixel_acc=0.356856 acc/mean_pixel_acc=0.108380 acc/iou=0.045924 best_acc/pixel_acc=0.365034 best_acc/mean_pixel_acc=0.114177 best_acc/iou=0.048249
val,step=155,epoch=5,loss=1.764216 loss_rec=1.764216 loss_eq=0.000000 acc/pixel_acc=0.399273 acc/mean_pixel_acc=0.136081 acc/iou=0.065397 best_acc/pixel_acc=0.399273 best_acc/mean_pixel_acc=0.136081 best_acc/iou=0.065397
val,step=186,epoch=6,loss=1.630550 loss_rec=1.630550 loss_eq=0.000000 acc/pixel_acc=0.429781 acc/mean_pixel_acc=0.146741 acc/iou=0.068854 best_acc/pixel_acc=0.429781 best_acc/mean_pixel_acc=0.146741 best_acc/iou=0.068854
train,step=200,epoch=7,loss=1.689085 loss_rec=1.688504 loss_eq=0.011616 acc/pixel_acc=0.432257 acc/mean_pixel_acc=0.144945 acc/iou=0.067899
val,step=217,epoch=7,loss=1.541106 loss_rec=1.541106 loss_eq=0.000000 acc/pixel_acc=0.433524 acc/mean_pixel_acc=0.158251 acc/iou=0.080310 best_acc/pixel_acc=0.433524 best_acc/mean_pixel_acc=0.158251 best_acc/iou=0.080310
val,step=248,epoch=8,loss=1.463495 loss_rec=1.463495 loss_eq=0.000000 acc/pixel_acc=0.446747 acc/mean_pixel_acc=0.155595 acc/iou=0.082749 best_acc/pixel_acc=0.446747 best_acc/mean_pixel_acc=0.158251 best_acc/iou=0.082749
val,step=279,epoch=9,loss=1.382549 loss_rec=1.382549 loss_eq=0.000000 acc/pixel_acc=0.492453 acc/mean_pixel_acc=0.178577 acc/iou=0.106077 best_acc/pixel_acc=0.492453 best_acc/mean_pixel_acc=0.178577 best_acc/iou=0.106077
train,step=300,epoch=10,loss=1.620545 loss_rec=1.619498 loss_eq=0.020937 acc/pixel_acc=0.512498 acc/mean_pixel_acc=0.196104 acc/iou=0.121225
val,step=310,epoch=10,loss=1.297067 loss_rec=1.297067 loss_eq=0.000000 acc/pixel_acc=0.539523 acc/mean_pixel_acc=0.199971 acc/iou=0.129383 best_acc/pixel_acc=0.539523 best_acc/mean_pixel_acc=0.199971 best_acc/iou=0.129383
val,step=341,epoch=11,loss=1.697639 loss_rec=1.697639 loss_eq=0.000000 acc/pixel_acc=0.445724 acc/mean_pixel_acc=0.179155 acc/iou=0.106361 best_acc/pixel_acc=0.539523 best_acc/mean_pixel_acc=0.199971 best_acc/iou=0.129383
val,step=372,epoch=12,loss=1.394988 loss_rec=1.394988 loss_eq=0.000000 acc/pixel_acc=0.523096 acc/mean_pixel_acc=0.196107 acc/iou=0.125773 best_acc/pixel_acc=0.539523 best_acc/mean_pixel_acc=0.199971 best_acc/iou=0.129383
train,step=400,epoch=13,loss=1.251302 loss_rec=1.250474 loss_eq=0.016568 acc/pixel_acc=0.556783 acc/mean_pixel_acc=0.226314 acc/iou=0.150218
val,step=403,epoch=13,loss=1.248986 loss_rec=1.248986 loss_eq=0.000000 acc/pixel_acc=0.573500 acc/mean_pixel_acc=0.224214 acc/iou=0.156213 best_acc/pixel_acc=0.573500 best_acc/mean_pixel_acc=0.224214 best_acc/iou=0.156213
val,step=434,epoch=14,loss=1.162112 loss_rec=1.162112 loss_eq=0.000000 acc/pixel_acc=0.599428 acc/mean_pixel_acc=0.238034 acc/iou=0.170100 best_acc/pixel_acc=0.599428 best_acc/mean_pixel_acc=0.238034 best_acc/iou=0.170100
val,step=465,epoch=15,loss=1.110851 loss_rec=1.110851 loss_eq=0.000000 acc/pixel_acc=0.628855 acc/mean_pixel_acc=0.266271 acc/iou=0.190509 best_acc/pixel_acc=0.628855 best_acc/mean_pixel_acc=0.266271 best_acc/iou=0.190509
val,step=496,epoch=16,loss=1.058570 loss_rec=1.058570 loss_eq=0.000000 acc/pixel_acc=0.642187 acc/mean_pixel_acc=0.285679 acc/iou=0.210808 best_acc/pixel_acc=0.642187 best_acc/mean_pixel_acc=0.285679 best_acc/iou=0.210808
